"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.Classification","Petal.Length.Classification","Area","Area.Classification"
5.1,3.5,1.4,0.2,"setosa","Medium","Small",17.85,"Small"
4.9,3,1.4,0.2,"setosa","Short","Small",14.7,"Small"
4.7,3.2,1.3,0.2,"setosa","Short","Small",15.04,"Small"
4.6,3.1,1.5,0.2,"setosa","Short","Small",14.26,"Small"
5,3.6,1.4,0.2,"setosa","Short","Small",18,"Small"
5.4,3.9,1.7,0.4,"setosa","Medium","Medium",21.06,"Medium"
4.6,3.4,1.4,0.3,"setosa","Short","Small",15.64,"Small"
5,3.4,1.5,0.2,"setosa","Short","Small",17,"Small"
4.4,2.9,1.4,0.2,"setosa","Short","Small",12.76,"Small"
4.9,3.1,1.5,0.1,"setosa","Short","Small",15.19,"Small"
5.4,3.7,1.5,0.2,"setosa","Medium","Small",19.98,"Small"
4.8,3.4,1.6,0.2,"setosa","Short","Medium",16.32,"Small"
4.8,3,1.4,0.1,"setosa","Short","Small",14.4,"Small"
4.3,3,1.1,0.1,"setosa","Short","Small",12.9,"Small"
5.8,4,1.2,0.2,"setosa","Medium","Small",23.2,"Medium"
5.7,4.4,1.5,0.4,"setosa","Medium","Small",25.08,"Medium"
5.4,3.9,1.3,0.4,"setosa","Medium","Small",21.06,"Medium"
5.1,3.5,1.4,0.3,"setosa","Medium","Small",17.85,"Small"
5.7,3.8,1.7,0.3,"setosa","Medium","Medium",21.66,"Medium"
5.1,3.8,1.5,0.3,"setosa","Medium","Small",19.38,"Small"
5.4,3.4,1.7,0.2,"setosa","Medium","Medium",18.36,"Small"
5.1,3.7,1.5,0.4,"setosa","Medium","Small",18.87,"Small"
4.6,3.6,1,0.2,"setosa","Short","Small",16.56,"Small"
5.1,3.3,1.7,0.5,"setosa","Medium","Medium",16.83,"Small"
4.8,3.4,1.9,0.2,"setosa","Short","Medium",16.32,"Small"
5,3,1.6,0.2,"setosa","Short","Medium",15,"Small"
5,3.4,1.6,0.4,"setosa","Short","Medium",17,"Small"
5.2,3.5,1.5,0.2,"setosa","Medium","Small",18.2,"Small"
5.2,3.4,1.4,0.2,"setosa","Medium","Small",17.68,"Small"
4.7,3.2,1.6,0.2,"setosa","Short","Medium",15.04,"Small"
4.8,3.1,1.6,0.2,"setosa","Short","Medium",14.88,"Small"
5.4,3.4,1.5,0.4,"setosa","Medium","Small",18.36,"Small"
5.2,4.1,1.5,0.1,"setosa","Medium","Small",21.32,"Medium"
5.5,4.2,1.4,0.2,"setosa","Medium","Small",23.1,"Medium"
4.9,3.1,1.5,0.2,"setosa","Short","Small",15.19,"Small"
5,3.2,1.2,0.2,"setosa","Short","Small",16,"Small"
5.5,3.5,1.3,0.2,"setosa","Medium","Small",19.25,"Small"
4.9,3.6,1.4,0.1,"setosa","Short","Small",17.64,"Small"
4.4,3,1.3,0.2,"setosa","Short","Small",13.2,"Small"
5.1,3.4,1.5,0.2,"setosa","Medium","Small",17.34,"Small"
5,3.5,1.3,0.3,"setosa","Short","Small",17.5,"Small"
4.5,2.3,1.3,0.3,"setosa","Short","Small",10.35,"Small"
4.4,3.2,1.3,0.2,"setosa","Short","Small",14.08,"Small"
5,3.5,1.6,0.6,"setosa","Short","Medium",17.5,"Small"
5.1,3.8,1.9,0.4,"setosa","Medium","Medium",19.38,"Small"
4.8,3,1.4,0.3,"setosa","Short","Small",14.4,"Small"
5.1,3.8,1.6,0.2,"setosa","Medium","Medium",19.38,"Small"
4.6,3.2,1.4,0.2,"setosa","Short","Small",14.72,"Small"
5.3,3.7,1.5,0.2,"setosa","Medium","Small",19.61,"Small"
5,3.3,1.4,0.2,"setosa","Short","Small",16.5,"Small"
7,3.2,4.7,1.4,"versicolor","Long","Large",22.4,"Medium"
6.4,3.2,4.5,1.5,"versicolor","Long","Large",20.48,"Medium"
6.9,3.1,4.9,1.5,"versicolor","Long","Large",21.39,"Medium"
5.5,2.3,4,1.3,"versicolor","Medium","Medium",12.65,"Small"
6.5,2.8,4.6,1.5,"versicolor","Long","Large",18.2,"Small"
5.7,2.8,4.5,1.3,"versicolor","Medium","Large",15.96,"Small"
6.3,3.3,4.7,1.6,"versicolor","Long","Large",20.79,"Medium"
4.9,2.4,3.3,1,"versicolor","Short","Medium",11.76,"Small"
6.6,2.9,4.6,1.3,"versicolor","Long","Large",19.14,"Small"
5.2,2.7,3.9,1.4,"versicolor","Medium","Medium",14.04,"Small"
5,2,3.5,1,"versicolor","Short","Medium",10,"Small"
